ticker,period,eps_actual,eps_forecast,transcript_path,cosine,nnw
BANCORP INC,1.0,0.19,0.22,transcripts_by_company/Fifth_Third_Bancorp_2013Q1.txt,0.22520878911018372,0.7747912108898163
COMPUCREDIT CORPORATION,1.0,-2.59,-0.43,transcripts_by_company/CompuCredit_2009Q1.txt,0.10261067003011703,0.897389329969883
RED HAT INC,2.0,0.19,0.2,transcripts_by_company/Red_Hat_Inc_2008Q2.txt,0.0861603245139122,0.9138396754860878
SYROS PHARMACEUTICALS INC,3.0,-3.21,-0.48,transcripts_by_company/Syros_Pharmaceuticals_Inc_2022Q3.txt,0.3099294900894165,0.6900705099105835
CENTRAL EUROPEAN MEDIA ENTERPRIS,4.0,-0.8,-0.15,transcripts_by_company/Central_European_Media_Enterprises_Ltd_2015Q4.txt,0.10800029337406158,0.8919997066259384
BAOZUN INC,2.0,2.01,1.74,transcripts_by_company/Baozun_Inc_2021Q2.txt,0.36657917499542236,0.6334208250045776
MODIV INC,2.0,0.35,-0.14,transcripts_by_company/Modiv_Inc_2023Q2.txt,0.14406943321228027,0.8559305667877197
VIVINT SOLAR INC,2.0,-0.24,0.19,transcripts_by_company/Vivint_Solar_Inc_2019Q2.txt,0.1843874454498291,0.8156125545501709
WYNDHAM WORLDWIDE CORP,3.0,0.68,0.56,transcripts_by_company/Wyndham_Worldwide_2010Q3.txt,0.34105607867240906,0.6589439213275909
MT BANK CORP,2.0,5.05,5.06,transcripts_by_company/Bank_of_the_Philippine_Islands_2023Q2.txt,0.24529385566711426,0.7547061443328857
ACRES COMMERCIAL REALTY CORP,1.0,-0.01,0.11,transcripts_by_company/ACRES_Commercial_Realty_Corp_2021Q1.txt,0.4282642602920532,0.5717357397079468
QUANEX BUILDING PRODUCTS CORP,4.0,0.04,0.16,transcripts_by_company/Quanex_Building_Products_Corporation_2013Q4.txt,0.40484875440597534,0.5951512455940247
BLUE NILE INC,3.0,0.17,0.17,transcripts_by_company/Blue_Nile_Inc_2015Q3.txt,0.15120570361614227,0.8487942963838577
GREENHILL & CO INC,1.0,0.25,0.41,transcripts_by_company/Greenhill_and_Company_Inc_2015Q1.txt,0.2791362404823303,0.7208637595176697
UMPQUA HOLDINGS CORP,3.0,0.38,0.43,transcripts_by_company/Umpqua_Holdings_Corporation_2019Q3.txt,0.1504267156124115,0.8495732843875885
BRIGHTHOUSE FINANCIAL INC,2.0,0.33,3.53,transcripts_by_company/Brighthouse_Financial_Inc_2022Q2.txt,0.1708802729845047,0.8291197270154953
FIRST MARBLEHEAD CORP,3.0,-0.94,0.76,transcripts_by_company/First_Marblehead_Corporation_2008Q3.txt,0.3203228712081909,0.6796771287918091
REPLIGEN CORP,2.0,0.2,0.17,transcripts_by_company/Repligen_Corporation_2017Q2.txt,0.26873618364334106,0.7312638163566589
CREE INC,3.0,0.6,0.5,transcripts_by_company/Cree_Inc_2010Q3.txt,0.12378151714801788,0.8762184828519821
KAMAN CORP,1.0,0.21,0.56,transcripts_by_company/Kaman_Corporation_2009Q1.txt,0.39763540029525757,0.6023645997047424
NATIONAL RETAIL PROPERTIES INC,3.0,0.29,0.28,transcripts_by_company/National_Retail_Properties_Inc_2013Q3.txt,0.20717403292655945,0.7928259670734406
