eps_name,quarter,actual_eps,forecast_eps,filepath
AMWD,2015Q4,0.68,2.03,/Users/vazea/Desktop/NNW/transcripts_by_company/AMERICAN_WOODMARK_CORP_2015Q4.txt
GME,2004Q3,0.18,0.18,/Users/vazea/Desktop/NNW/transcripts_by_company/GAMESTOP_CORP_2004Q3.txt
ATMI,2004Q4,0.22,0.68,/Users/vazea/Desktop/NNW/transcripts_by_company/ATMI_INC_2004Q4.txt
FTHM,2023Q2,-0.27,-0.21,/Users/vazea/Desktop/NNW/transcripts_by_company/FATHOM_HOLDINGS_INC_2023Q2.txt
HAS,2003Q4,0.65,1.1,/Users/vazea/Desktop/NNW/transcripts_by_company/HASBRO_INC_2003Q4.txt
MAR,2002Q4,0.55,1.82,/Users/vazea/Desktop/NNW/transcripts_by_company/MARRIOTT_INTERNATIONAL_INC_2002Q4.txt
LOOK,2009Q2,-0.04,-0.03,/Users/vazea/Desktop/NNW/transcripts_by_company/LOOKSMART_LTD_2009Q2.txt
ARW,2009Q1,0.36,0.35,/Users/vazea/Desktop/NNW/transcripts_by_company/ARROW_ELECTRONICS_INC_2009Q1_1.txt
CHD,2017Q2,0.41,0.38,/Users/vazea/Desktop/NNW/transcripts_by_company/CHURCH_DWIGHT_CO_INC_2017Q2.txt
ECHO,2016Q3,0.33,0.34,/Users/vazea/Desktop/NNW/transcripts_by_company/ECHO_GLOBAL_LOGISTICS_INC_2016Q3.txt
HAL,2023Q2,0.77,0.75,/Users/vazea/Desktop/NNW/transcripts_by_company/HALLIBURTON_CO_2023Q2.txt
